language_table	sid	zh_hits	ko_hits	zh	ko_new	notes
t_language.xml	110007	名		名家	명가	merged_from_huax_draft
t_language.xml	110017	名	이름	名	이름	merged_from_huax_draft
t_language.xml	117212	宗族|名	가문	 &lt;sprite name=img_icon-youjianbiao &gt;派遣成员执行宗族任务（获取名望）	&lt;sprite name=img_icon-youjianbiao &gt;구성원을 파견하여 가문 임무 수행(명망 획득)	merged_from_huax_draft_normalized; fine_term_fix; broad_josa_term_fix
t_language.xml	117213	名		 &lt;sprite name=img_icon-youjianbiao &gt;积累善名（名望），与郡监交谈入仕	&lt;sprite name=img_icon-youjianbiao &gt;선명(명망) 축적, 군감과 대화하여 입사	merged_from_huax_draft_normalized
t_language.xml	117217	宗族	가문	 &lt;sprite name=img_icon-youjianbiao &gt;派遣成员执行宗族任务（获取威望）	&lt;sprite name=img_icon-youjianbiao &gt;구성원을 파견하여 가문 임무 수행(위망 획득)	merged_from_huax_draft_normalized; fine_term_fix; broad_josa_term_fix
t_language.xml	117219	宗族	가문	 &lt;sprite name=img_icon-youjianbiao &gt;宗族事件决策	&lt;sprite name=img_icon-youjianbiao &gt;가문 사건 의사결정	merged_from_huax_draft_normalized; fine_term_fix
t_language.xml	117223	名		 &lt;sprite name=img_icon-youjianbiao &gt;在领地内的名胜地点举行封禅仪式	&lt;sprite name=img_icon-youjianbiao &gt;영지 내의 명승지에서 봉선 의식 거행	merged_from_huax_draft_normalized
t_language.xml	117231	宗族	가문	 &lt;sprite name=img_icon-youjianbiao &gt;委托宗族成员使用设施生产	&lt;sprite name=img_icon-youjianbiao &gt;가문 구성원에게 시설 사용 생산 위탁	merged_from_huax_draft_normalized; fine_term_fix
t_language.xml	117401	名		{ref=102001}是一国之君主，拥有合法的君统继承权的角色，国家的最高统治者和代表。\n拥有{ref=102001}身份后，你可通过“治国”界面对国家进行管理，包含科技、制度、变法等内容，将国家塑造为你远大理想宏图的样子。\n作为{ref=102001}，威望决定了你的统治地位是否稳固。你可举全国之力建设各类国家工程，在名胜古迹举行封禅仪式，或收集全部 &lt;link=40004_28 &gt;九鼎碎片 &lt;/link &gt;并重铸九鼎，从而维持至高无上的地位。	{ref=102001}은(는) 일국의 군주로, 합법적인 군통 계승권을 지닌 인물이며 국가의 최고 통치자이자 대표입니다.\n{ref=102001} 신분을 획득한 후, 당신은 “치국” 화면을 통해 기술, 제도, 변법 등을 아울러 국가를 관리하고, 국가를 당신의 원대한 포부와 이상에 걸맞은 모습으로 빚어낼 수 있습니다.\n{ref=102001}(으)로서 위망은 당신의 통치 기반이 견고한지를 결정합니다. 전국의 힘을 모아 각종 국가 공정을 건설하거나, 명승고적에서 봉선 의식을 거행하거나, 모든 <link=40004_28>구정 파편</link>을 수집해 구정을 다시 주조함으로써 지고무상한 지위를 유지할 수 있습니다.	merged_from_huax_draft_normalized; deep_auto_safe_fix; antigravity_modern_tone_merge
t_language.xml	117404	宗族	가문	{ref=102004}是拥有县乡封邑的宗族统治者。\n拥有{ref=102004}身份后，你能在某地获得自己的封邑，每月定期从所在郡的税收中获取一部分的食邑收入，从而在更大的空间内经营宗族和家园。\n你可派遣成员收集阴阳灵气，并在宗庙中向先祖图腾祭祀，使宗族全员获得强大的加持效果。\n你可向势力内的其他诸侯发起外交，以联姻等形式获取人才，延续血脉。\n作为最下级的诸侯，你终于有参与朝议的权力，虽无法发起对国家治理的提案，但正确的决策能使你获得威望增长。	{ref=102004}은(는) 현향 봉읍을 소유한 가문 통치자입니다.\n{ref=102004} 신분을 획득한 후, 당신은 특정 지역에서 자신의 봉읍을 얻을 수 있으며, 매월 정기적으로 소속 군의 세수 중 일부를 식읍 수입으로 획득하여 더 큰 공간에서 가문와 가원을 경영할 수 있습니다.\n당신은 구성원을 파견하여 음양영기를 수집하고, 종묘에서 선조 토템에게 제사를 지내어 가문 전원이 강력한 가호 효과를 얻게 할 수 있습니다.\n당신은 세력 내의 다른 제후들에게 외교를 제안하여 혼인 등의 형식으로 인재를 확보하고 혈맥을 이을 수 있습니다.\n최하급 제후로서 당신은 마침내 조의에 참여할 권리를 갖게 되며, 비록 국가 통치에 대한 제안을 발의할 수는 없지만 올바른 의사결정을 통해 위망을 성장시킬 수 있습니다.	merged_from_huax_draft; fine_term_fix; broad_josa_term_fix
t_language.xml	117407	宗族	가문	{ref=102007}是郡县担任幕僚的角色，入仕后的初始身份，没有具体的职责，作为官员候补存在。\n拥有{ref=102007}身份后，你可入住所在地的士人区官邸，解锁更多的家园设施，包括更多的组队派遣任务类型。通过这些任务你可快速收集周边资源，并使成员和宗族获得成长。\n超出小队上限的 &lt;link=20005_28 &gt;士卒 &lt;/link &gt;现在可以回到家园的特定建筑内待命，并在各类组队派遣中提供人力。\n作为官员，你可以领取士人区看板上的治理任务，从而积累功绩。\n现在你可招揽城池内的英雄加入你，相比县乡内的英雄更加强大。	{ref=102007}은(는) 군현에서 막료를 맡은 인물로, 입사 후의 초기 신분이며 구체적인 직책 없이 관리 후보로 존재합니다.\n{ref=102007} 신분을 획득한 후, 당신은 해당 지역의 사인 구역 관저에 입주하여 더 많은 가원 시설과 조 편성 파견 임무 유형을 해제할 수 있습니다. 이러한 임무를 통해 주변 자원을 빠르게 수집하고 구성원과 가문를 성장시킬 수 있습니다.\n소대 상한을 초과한 <link=20005_28>사졸</link>은(는) 이제 가원의 특정 건물로 돌아가 대기하며 각종 조 편성 파견에서 인력을 제공할 수 있습니다.\n관리로서 당신은 사인 구역 게시판의 치리 임무를 맡아 공적을 쌓을 수 있습니다.\n이제 당신은 성지 내의 영웅들을 포섭하여 당신에게 합류하게 할 수 있으며, 이들은 현향 내의 영웅들보다 더욱 강력합니다.	merged_from_huax_draft_normalized; fine_term_fix; broad_josa_term_fix; antigravity_modern_tone_merge
t_language.xml	117409	宗族|名	가문	{ref=102009}是没有国籍的自由角色，包括游侠英雄、雇佣兵、隐居者和九大学派成员。\n拥有{ref=102009}身份后，你不再受到奴役，可自由游历世界，寻访 &lt;link=40006_28 &gt;学宫 &lt;/link &gt;，{ref=114005}野兽，研习 &lt;link=10009_28 &gt;技艺 &lt;/link &gt;，但是{ref=102009}可前往的区域受到限制。\n你与最初的 &lt;link=20003_28 &gt;族人 &lt;/link &gt;组成了宗族，他们可以加入你的 &lt;link=20001_28 &gt;队伍 &lt;/link &gt;与你一起行动。\n作为族长，你必须肩负起供养成员，发展宗族的重任，通过完成各类看板任务可赚取钱币，并提高当地声誉，为入籍做准备。\n某些时候，通过犯罪行为（偷窃、撬锁、袭击并抢夺等）能够轻松获取财物，但需要关注犯罪值和恶名值的增长。	{ref=102009}은(는) 국적이 없는 자유로운 인물로, 유협 영웅, 용병, 은거자 및 구대학파 구성원을 포함합니다.\n{ref=102009} 신분을 획득한 후, 당신은 더 이상 노역을 당하지 않고 자유롭게 세계를 유람하며 <link=40006_28>학궁</link>을 방문하고, {ref=114005} 야수를 사냥하며, <link=10009_28>기예</link>를 연마할 수 있지만, {ref=102009}이(가) 이동할 수 있는 구역은 제한됩니다.\n당신은 최초의 <link=20003_28>족인</link>과(와) 함께 가문를 구성하며, 그들은 당신의 <link=20001_28>부대</link>에 합류하여 당신과 함께 행동할 수 있습니다.\n가주로서 당신은 구성원을 공양하고 가문를 발전시켜야 하는 중책을 맡아야 하며, 각종 게시판 임무를 완료하여 엽전을 벌고 현지 명성을 높여 입적을 준비할 수 있습니다.\n때로는 범죄 행위(절도, 자물쇠 따기, 습격 및 약탈 등)를 통해 쉽게 재물을 얻을 수 있지만, 범죄치와 악명치의 증가에 주의해야 합니다.	merged_from_huax_draft_normalized; fine_term_fix; broad_josa_term_fix; final_josa_cleanup; glossary_money_term_fix; antigravity_modern_tone_merge
t_language.xml	117410	宗族	가문	{ref=102011}是被剥夺自由并效力于某个宗族的角色。\n你作为{ref=102011}时，需要通过日常任务完成每天的劳役指标，否则将受到惩罚。	{ref=102011}은(는) 자유를 박탈당하고 특정 가문를 위해 일하는 인물입니다.\n당신이 {ref=102011}일 때는 일상 임무를 통해 매일의 노역 지표를 완료해야 하며, 그렇지 않으면 처벌을 받게 됩니다.	merged_from_huax_draft; fine_term_fix; broad_josa_term_fix; antigravity_modern_tone_merge
t_language.xml	117415	宗族	가문	你的宗族成员可被派遣执行各类治理任务，改善你在民众和诸侯心中的形象，从而达到积累威望的目的。在拥有足够的威望后，你可向所属势力主君要求一块封邑，成为{ref=102004}。	당신의 가문 구성원은 각종 치리 임무를 수행하도록 파견되어 민중과 제후들의 마음속에 당신의 이미지를 개선하고, 이를 통해 위망을 축적하는 목적을 달성할 수 있습니다. 충분한 위망을 얻은 후, 당신은 소속 세력 주군에게 봉읍 하나를 요구하여 {ref=102004}이(가) 될 수 있습니다.	merged_from_huax_draft; fine_term_fix; deep_auto_safe_fix
t_language.xml	117418	名		你可通过完成各地的云游任务、积累其他英雄的好感度、或积累各势力的声誉，从而获得善名值。在善名值达到500后，前往任意城池的城门区找郡监申请入仕，成为{ref=102007}人。（当前版本尚未开启，敬请期待）	당신은 각지의 운유 임무 완료, 다른 영웅의 호감도 축적, 또는 각 세력의 명성 축적을 통해 선명치를 획득할 수 있습니다. 선명치가 500에 도달한 후, 임의의 성지 성문 구역으로 가서 군감을 찾아 입사를 신청하여 {ref=102007}인이 될 수 있습니다. (현재 버전은 아직 개방되지 않았으니 기대해 주십시오)	merged_from_huax_draft; broad_josa_term_fix
t_language.xml	118006	名		名满天下	명만천하	merged_from_huax_draft
t_language.xml	118007	名	성명	功成名就	공성명취	merged_from_huax_draft
t_language.xml	118008	名		赫赫有名	혁혁유명	merged_from_huax_draft
t_language.xml	118010	名		名声扫地	명성소지	merged_from_huax_draft
t_language.xml	118011	名	성명	声名狼藉	성명낭자	merged_from_huax_draft
t_language.xml	118012	名		身败名裂	신패명렬	merged_from_huax_draft
t_language.xml	118013	名		恶名昭著	악명소저	merged_from_huax_draft
t_language.xml	118014	名		寂寂无名	적적무명	merged_from_huax_draft
t_language.xml	119011	宗族	가문	宗族	가문	merged_from_huax_draft; fine_term_fix
t_language.xml	119027	宗族	가문	宗族(H)	가문(H)	merged_from_huax_draft; fine_term_fix
t_language.xml	119037	宗族	가문	世界宗族	천하 가문	merged_from_huax_draft; fine_term_fix
t_language.xml	119048	宗族	가문	查看宗族信息。	가문 정보를 확인합니다.	merged_from_huax_draft; fine_term_fix
t_language.xml	119055	宗族	가문	你没有所属宗族	소속된 가문가 없습니다	merged_from_huax_draft; fine_term_fix; broad_josa_term_fix
t_language.xml	121001	名	이름	名	이름	merged_from_huax_draft
t_language.xml	121611	名	이름	名称:%s	이름:%s	merged_from_huax_draft
t_language.xml	122016	名		名仕	명사	merged_from_huax_draft
t_language.xml	122026	名		名辩大家	명변대가	merged_from_huax_draft
t_language.xml	122071	名		无名刺客	무명자객	merged_from_huax_draft
t_language.xml	122112	名		侠盗留名	협도유명	merged_from_huax_draft
t_language.xml	122510	名	이름	立志成为当世第一将帅，战无不胜攻无不克，百战而成无敌之名。	당대 제일의 장수가 되어 싸울 때마다 이기고 공격할 때마다 빼앗아, 백 번의 전투로 무적의 이름을 떨치기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122511	名		立志成为一名军中策士，以巧思破局，助兵将破敌。	군중의 책사가 되어 기발한 생각으로 국면을 타개하고, 병사들이 적을 물리치는 것을 돕기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122512	名	이름	立志成为一名{ref=110005}学士，研读兵法，纵观局势，成就兵者之名。	{ref=110005}학사가 되어 병법을 연구하고 정세를 관망하며, 병자로서의 이름을 떨치기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122516	名		立志成为一代名仕，通过自身才能治理一郡，造福一方。	일대의 명사가 되어 자신의 재능으로 한 군을 다스리고, 한 지방을 이롭게 하기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122524		이름	立志成为{ref=110007}学士，以三寸不烂之舌争讼于九州之间。	{ref=110007}학사가 되어 세 치 혀로 구주 사이에서 논쟁하며 이름을 떨치기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122528	名	이름	立志以辩才闻名天下，成为乱世中改变格局的外交家。	변재로 천하에 이름을 떨치고, 난세 속에서 격변을 일으키는 외교가가 되기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122532		가문	立志成为一位拥有田产的农人，经营自家农产，满足家族生计。	전답을 가진 농인이 되어 자신의 농산물을 경영하며 가문의 생계를 충족시키기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122536	名		立志成为一名{ref=114001}师父，通过熟练的厨艺赚钱钱财。	{ref=114001}사부가 되어 숙련된 요리 솜씨로 재물을 벌기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122537	名		立志成为一名{ref=114001}大师，练就天下首屈一指的厨艺。	{ref=114001}대사가 되어 천하 으뜸가는 요리 솜씨를 연마하기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122542	名	이름	立志成为村落中小有名气的猎户，带领家人以狩猎为生计。	마을에서 이름난 렵호가 되어 가족을 이끌고 사냥을 생업으로 삼기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122545	名	이름	立志成为小有名气的锻造师，追求锻造出更好的兵刃盔甲。	이름난 단조사가 되어 더 좋은 병기와 갑옷을 만드는 것을 추구하기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122549	名	이름	立志成为天下闻名的木工匠人，任何木材在手中做出精炼的物件。	천하에 이름난 목공 장인이 되어, 어떤 목재든 손에 쥐면 정교한 물건을 만들어내기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122560	名		立志成为一名乐者，靠着音律技艺寻得生计。	악자가 되어 음률 기예로 생계를 꾸리기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122561	名		立志认真研习音律，成为有名的乐师，借此修养心性。	음률을 성실히 연구하여 유명한 악사가 되고, 이를 통해 심성을 수양하기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122562	名	이름	立志专精音律，成为天下闻名的大家，并寻得知音之人。	음률에 정진하여 천하에 이름난 대가가 되고, 뜻이 통하는 지음을 찾기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122563	名		立志研习棋弈，凭借游走四方与人对弈来闯出名声。	바둑을 연구하고 사방을 유람하며 사람들과 대국하여 명성을 떨치기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122565	名		立志深耕棋道，成为天下无双的棋弈大家，赢得非凡的名望。	기도를 깊이 파고들어 천하무쌍의 기혁대가가 되어 비범한 명망을 얻기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122566	名	이름	立志成就侠客之名，以一身武艺扶危救困，行侠仗义。	협객의 이름을 이루고, 무예로 위급한 이를 돕고 곤경에 처한 이를 구하며 협의를 행하기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122567	名	이름	立志游历九州，路见不平必出手相助，不负一身侠名。	구주를 유람하며 불의를 보면 반드시 나서서 도와, 협객의 이름에 부끄럽지 않게 하기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122571	名	이름	立志成为无形之人，无名之辈，用自己的手段刺杀天下该死之人。	형체 없는 사람, 이름 없는 존재가 되어 자신의 수단으로 천하의 죽어 마땅한 자들을 암살하기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122591	名	이름	立志专注文书技艺，研习行文之道，赢得文士之名。	문서 기예에 전념하고 문장 쓰는 법을 연구하여 문사의 이름을 얻기로 뜻을 세웁니다.	merged_from_huax_draft
t_language.xml	122612	名	이름	劫富济贫入世，惩恶扬善扬名。	부유한 자의 것을 털어 가난한 이를 돕고, 악을 벌하고 선을 권장하여 이름을 떨칩니다.	merged_from_huax_draft
t_language.xml	122622	名		精研名家至理，明断世间是非。	명가의 지극한 이치를 정밀히 연구하여 세상의 시비곡직을 명확히 판단합니다.	merged_from_huax_draft
t_language.xml	123007	名		名将之后	명장지후	merged_from_huax_draft
t_language.xml	123011	名		名臣之后	명신지후	merged_from_huax_draft
t_language.xml	123504		가문	贵族嫡系后代，宗室至贵，有权世袭家族权柄。	귀족의 적계 후손으로, 종실 중 가장 귀하며 가문의 권력을 세습할 권리가 있습니다.	merged_from_huax_draft
t_language.xml	123506	宗族	가문	贵族旁系后代，作为宗室子弟，与宗族荣辱与共。	귀족의 방계 후손으로, 종실 자제로서 가문의 영욕을 함께합니다.	merged_from_huax_draft; fine_term_fix
t_language.xml	123507	名		祖上出于名将，对兵法之道有深厚积累。	조상이 명장 출신으로, 병법의 도에 대해 깊은 축적이 있습니다.	merged_from_huax_draft
t_language.xml	123511	名		祖上出于名臣，对安邦治国之道有深厚积累。	조상이 명신 출신으로, 나라를 평안하게 다스리는 도에 대해 깊은 축적이 있습니다.	merged_from_huax_draft
t_language.xml	124002		가문	昔日你习武强身，今你武艺超群，志在沙场建功，于战国纷争中，护家国太平。	예전에 당신은 무예를 익혀 몸을 단련했고, 이제는 무예가 출중하여 전장에서 공을 세우고자 하니, 전국 분쟁 속에서 가문의 평안을 지킵니다.	merged_from_huax_draft
t_language.xml	124003	名	이름	昔日你献艺娱人，今你技艺精湛，志在以艺扬名，于战国乱世中，以乐化民。	예전에 당신은 기예를 선보여 사람들을 즐겁게 했고, 이제는 기예가 정교하여 예능으로 이름을 떨치고자 하니, 전국 난세 속에서 음악으로 백성을 교화합니다.	merged_from_huax_draft
t_language.xml	124008		가문	昔日你沙场建功，今你兵法精通，志在统帅三军，于战国乱世中，定家国太平。	예전에 당신은 전장에서 공을 세웠고, 이제는 병법에 정통하여 삼군을 통솔하고자 하니, 전국 난세 속에서 가문의 평안을 결정짓습니다.	merged_from_huax_draft
t_language.xml	124011		가문	昔日你习武强身，今你沙场为将，志在统兵作战，于战国纷争中，护家国山河。	예전에 당신은 무예를 익혀 몸을 단련했고, 이제는 전장에서 장수가 되어 군대를 통솔해 싸우고자 하니, 전국 분쟁 속에서 가문의 산하를 지킵니다.	merged_from_huax_draft
t_language.xml	124014		가문	昔日你操锤舞钎，今你沙场为将，志在以工强兵，于战国纷争中，护家国安宁。	예전에 당신은 망치와 정을 휘둘렀고, 이제는 전장에서 장수가 되어 공업으로 병사를 강하게 하고자 하니, 전국 분쟁 속에서 가문의 안녕을 지킵니다.	merged_from_huax_draft
t_language.xml	128029	名		角色名望增减速度	인물 명망 증감 속도	merged_from_huax_draft; antigravity_modern_tone_merge
t_language.xml	130018	宗族	가문	深化志向发展与理念，允许宗族繁衍	지향 발전 및 이념 심화, 가문 번식 허용	merged_from_huax_draft; fine_term_fix
t_language.xml	131059	名	이름	战斗时NPC名字显示	전투 시 NPC 이름 표시	merged_from_huax_draft
t_language.xml	131560	名	이름	开/关战斗时的NPC名称显示。	전투 시 NPC 이름 표시 켜기/끄기.	merged_from_huax_draft
t_language.xml	201003	氏		乌氏	오씨	merged_from_huax_draft
t_language.xml	201036	氏		班氏	반씨	merged_from_huax_draft
t_language.xml	201480	氏		潞氏城池	로씨성지	merged_from_huax_draft
t_language.xml	201547	氏		尉氏	위씨	merged_from_huax_draft
t_language.xml	201612	氏		卢氏	노씨	merged_from_huax_draft
t_language.xml	201620	氏		山氏	산씨	merged_from_huax_draft
t_language.xml	201656	氏		纶氏	윤씨	merged_from_huax_draft
t_language.xml	202037	氏		潞氏	로씨	merged_from_huax_draft
t_language.xml	218520	氏		项氏青年	항 씨 청년	merged_from_huax_draft
t_language.xml	218528	名		无名琴师	무명 악사	merged_from_huax_draft
t_language.xml	218541	名		名马商人	명마 상인	merged_from_huax_draft
t_language.xml	218640	名		名士	명사	merged_from_huax_draft
t_language.xml	219152	宗族	가문	主理一国邦交，执掌宗族事务。	일국의 외교를 주관하고, 가문의 사무를 장악함.	merged_from_huax_draft; fine_term_fix
t_language.xml	219158	宗族	가문	公侯宗族亲眷，同享士之待遇。	공후 가문의 친척으로, 사의 대우를 함께 누림.	merged_from_huax_draft; fine_term_fix
t_language.xml	219159	宗族	가문	辅佐族长理事，处置宗族内务。	가주를 보좌하여 이치를 다스리고, 가문의 내무를 처리함.	merged_from_huax_draft; fine_term_fix; deep_auto_safe_fix
t_language.xml	219173	宗族	가문	投身宗族门下，充任幕僚之职。	가문의 문하에 몸을 던져, 막료의 직무를 충당함.	merged_from_huax_draft; fine_term_fix
t_language.xml	219174	宗族	가문	投身宗族门下，充任幕僚之职。	가문의 문하에 몸을 던져, 막료의 직무를 충당함.	merged_from_huax_draft; fine_term_fix
t_language.xml	219175	宗族	가문	同宗血脉子弟，隶属宗族之人。	동종 혈맥의 자제로, 가문에 예속된 사람.	merged_from_huax_draft; fine_term_fix
t_language.xml	219247		세가	气势不凡的孩童	기세가 범상치 않은 아이	merged_from_huax_draft
t_language.xml	219300	名		身负盛名在外，受世人所推崇。	외부에 명성이 자자하여, 세상 사람들의 추앙을 받음.	merged_from_huax_draft
t_language.xml	306480	名		珍贵药材，珍稀名贵药材，性寒味苦，可清热解毒、清肝明目，多用于惊风目赤、热毒疮疡。	귀한 약재인 희귀하고 명성이 높은 약재로 성질이 차고 맛이 쓰다. 열을 내리고 해독하며 간을 맑게 하고 눈을 밝게 하여 주로 경풍, 충혈, 열독으로 인한 종기에 쓰인다.	merged_from_huax_draft
t_language.xml	306484	名		稀有药材，高原雪域所生药材，又称冬虫夏草，可补肾益肺、止咳化痰，名贵滋补佳品。	희귀 약재로 고원 설역에서 자라는 약재이며 동충하초라고도 한다. 신장을 보하고 폐를 유익하게 하며 기침과 가래를 멎게 하는 명귀한 보양 상등품이다.	merged_from_huax_draft
t_language.xml	306570	名		上古传说中，由酒祖仪狄所酿的传世名酒，被奉为酒中珍品，流传千古。	상고 전설 속에서 주조 의적이 빚은 전세 명주로, 술 중의 진품으로 받들어지며 천고에 전해 내려온다.	merged_from_huax_draft
t_language.xml	306583	名		名贵丹药。贯通十二经脉，汲取天地精华。	명귀한 단약. 십이경맥을 관통하여 천지의 정수를 흡수한다.	merged_from_huax_draft
t_language.xml	306584	名		名贵丹药。活络气血，强健筋骨。	명귀한 단약. 기혈을 소통시키고 근골을 튼튼하게 한다.	merged_from_huax_draft
t_language.xml	306585	名		名贵丹药。身轻如燕，追风逐日。	명귀한 단약. 몸이 제비처럼 가벼워져 바람을 쫓고 해를 따라잡는다.	merged_from_huax_draft
t_language.xml	306586	名		名贵丹药。蕴养丹田，固本培元。	명귀한 단약. 단전을 기르고 근본을 배양한다.	merged_from_huax_draft
t_language.xml	306587	名		名贵丹药，神游九霄，一点通灵。	명귀한 단약. 정신이 구만리 상공을 노닐며 영험함이 통한다.	merged_from_huax_draft
t_language.xml	306588	名		名贵丹药，身感四海，心念九州。	명귀한 단약. 몸은 사해를 느끼고 마음은 구주를 생각한다.	merged_from_huax_draft
t_language.xml	306589	名		名贵丹药，涤昏启明，慧光自生。	명귀한 단약. 혼미함을 씻어내고 밝음을 열어 지혜의 빛이 스스로 생겨난다.	merged_from_huax_draft
t_language.xml	306590	名		名贵丹药，文思泉涌，下笔如神。	명귀한 단약. 문장력이 샘솟아 글을 쓰는 것이 신의 경지에 이른다.	merged_from_huax_draft
t_language.xml	306591	名		名贵丹药，胸怀韬略，谋定乾坤。	명귀한 단약. 가슴에 도략을 품어 천하의 형세를 결정한다.	merged_from_huax_draft
t_language.xml	306606	宗族	가문	硬木打造、配铁箍车轮的货运专用推车，承重力强、推拉便捷，可载运各类物资。在建设宗族设施时消耗，可减少15%的建设时间。	단단한 나무로 만들고 철테를 두른 바퀴를 장착한 화물 운송 전용 손수레로 하중 지지력이 강하고 밀고 당기기가 편리하여 각종 물자를 운반할 수 있다. 가문 시설 건설 시 소모하면 건설 시간을 15% 단축할 수 있다.	merged_from_huax_draft; fine_term_fix
t_language.xml	306607	宗族	가문	生铁锻打而成的各类工具，质地坚硬、经久耐用。在建设宗族设施时消耗，可减少15%的建设时间。	선철로 단조한 각종 도구들로 재질이 단단하고 내구성이 좋다. 가문 시설 건설 시 소모하면 건설 시간을 15% 단축할 수 있다.	merged_from_huax_draft; fine_term_fix
t_language.xml	306916	名		上古名酒秘酿，米曲精工，封藏经年，稍有杂污则名酿不存。	상고 명주 비양, 쌀 누룩에 정성을 들여 수년간 갈무리하는데, 조금이라도 오염되면 명주가 존재할 수 없다.	merged_from_huax_draft
t_language.xml	308084	名		据说由某些知名人物持有	특정 유명 인사가 소지한 것으로 알려짐	merged_from_huax_draft
t_language.xml	308108	宗族	가문	宗族设施建材	가문 시설 건재	merged_from_huax_draft; fine_term_fix
t_language.xml	308116	宗族	가문	缩短宗族设施建造时间	가문 시설 건설 시간 단축	merged_from_huax_draft; fine_term_fix
t_language.xml	309045	宗族	가문	负责建造宗族产业设施时，建设时间-20%	가문 산업 시설 건설 담당 시, 건설 시간 -20%	merged_from_huax_draft; fine_term_fix
t_language.xml	309046	宗族	가문	负责建造宗族产业设施时，需求的木料（加工品）-20%	가문 산업 시설 건설 담당 시, 요구 목재(가공품) -20%	merged_from_huax_draft; fine_term_fix
t_language.xml	309047	宗族	가문	负责建造宗族产业设施时，需求的石料（加工品）-20%	가문 산업 시설 건설 담당 시, 요구 석재(가공품) -20%	merged_from_huax_draft; fine_term_fix
t_language.xml	309048	宗族	가문	负责建造宗族产业设施时，需求的布料（加工品）-20%	가문 산업 시설 건설 담당 시, 요구 천(가공품) -20%	merged_from_huax_draft; fine_term_fix
